url,title,genre,Release Date,tags,total_reviews,positive_reviews,negative_reviews,price
https://store.steampowered.com/app/1027990/Antenna_Dilemma/,Antenna Dilemma,"['Adventure', ' Indie']","24 Apr, 2019","['Adventure', 'Indie', 'Point & Click', '2D', 'Singleplayer', 'Pixel Graphics', 'Comedy', 'Funny', 'Retro', 'Puzzle', 'Great Soundtrack', 'Casual', 'Classic', 'Free to Play', 'Story Rich', 'Short']",177,167,10,Free
https://store.steampowered.com/app/338190/Just_Get_Through/,Just Get Through,"['Action', ' Adventure', ' Casual', ' Indie', ' Racing']","30 Jan, 2015","['Action Roguelike', 'Indie', 'Casual', 'Action', 'Adventure', 'Platformer', 'Procedural Generation', 'Level Editor', 'Roguelite', 'Pixel Graphics', 'Roguelike', 'Difficult', 'Sandbox', '2D', 'Puzzle', 'Singleplayer', 'Destruction', 'Racing']",214,185,29,
https://store.steampowered.com/app/1452830/Disc_Space/,Disc Space,"['Free to Play', ' Massively Multiplayer', ' Sports']","13 Nov, 2020","['Sports', 'PvP', 'eSports', 'Cute', '3D', 'Massively Multiplayer', 'Third Person', 'Free to Play', 'Multiplayer', 'Co-op', 'Team-Based', 'Online Co-Op']",514,435,79,Free
https://store.steampowered.com/app/1286350/BPM_BULLETS_PER_MINUTE/,BPM: BULLETS PER MINUTE,"['Action', ' Adventure', ' Indie']","15 Sep, 2020","['Action', 'FPS', 'Rhythm', 'Roguelike', 'Indie', 'Adventure', 'Shooter', 'Action Roguelike', 'Rock Music', 'Music', 'Great Soundtrack', 'Roguelite', 'Difficult', 'Singleplayer', 'First-Person', 'Female Protagonist', 'Procedural Generation', 'Bullet Hell', 'Fast-Paced']",8233,7568,665,529
https://store.steampowered.com/app/395520/Missing_Translation/,Missing Translation,"['Adventure', ' Casual', ' Free to Play', ' Indie']","24 Sep, 2015","['Free to Play', 'Pixel Graphics', 'Indie', 'Puzzle', 'Adventure', 'Casual', 'Great Soundtrack', 'Point & Click', '2D', 'Singleplayer', 'Short', 'Atmospheric']",3030,2664,366,Free
https://store.steampowered.com/app/779640/Deliver_Me/,妄想症：Deliver Me,"['Adventure', ' Indie', ' Simulation']","9 Aug, 2018","['Indie', 'Adventure', 'Visual Novel', 'Simulation', 'Music', 'Mystery', 'Anime', 'Casual', 'Female Protagonist', 'Gore', 'Sexual Content', 'Psychological Horror']",1796,1592,204,85
https://store.steampowered.com/app/522040/Princess_Remedy_2_In_A_Heap_of_Trouble/,Princess Remedy 2: In A Heap of Trouble,"['Action', ' Indie', ' RPG']","8 Sep, 2016","['Indie', 'Female Protagonist', 'Action', 'Retro', 'RPG', 'Cute', 'Bullet Hell', 'Pixel Graphics', 'Great Soundtrack', '2D', ""Shoot 'Em Up"", 'Singleplayer', 'Short', 'LGBTQ+', 'Adventure']",581,530,51,199
https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/,MONSTER HUNTER RISE,['Action'],"12 Jan, 2022","['Action', 'Online Co-Op', 'RPG', 'JRPG', 'Action RPG', 'Hunting', 'Co-op', 'Multiplayer', 'Third Person', 'Singleplayer', 'Character Customization', 'Anime', 'PvE', 'Fantasy', 'Nature', '3D', 'Souls-like', 'Atmospheric', 'Ninja', 'Story Rich']",30125,26219,3906,
https://store.steampowered.com/app/508840/Broken_Armor/,Broken Armor,"['Action', ' Indie']","1 Aug, 2016","['Action', 'Indie', 'Pixel Graphics', 'Retro', '2D', 'Difficult', 'Singleplayer', 'Arcade', 'Top-Down', 'Score Attack']",473,388,85,42
https://store.steampowered.com/app/298180/The_Desolate_Hope/,The Desolate Hope,"['Action', ' Adventure', ' Indie', ' RPG']","5 May, 2014","['RPG', 'Adventure', 'Free to Play', 'Robots', 'Indie', 'Action', 'Platformer', 'Sci-fi', '2D', 'Singleplayer', 'Horror', 'Atmospheric', 'Great Soundtrack', 'Story Rich', 'Surreal', 'Cyberpunk', 'Metroidvania', 'Psychological Horror', 'Multiplayer', 'Cute']",1181,1083,98,
https://store.steampowered.com/app/1503670/The_Caregiver/,The Caregiver | 終焉介護,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation', ' Strategy']","2 Apr, 2021","['Horror', 'Investigation', 'Time Management', 'Programming', 'FPS', 'Immersive Sim', 'Casual', 'Survival Horror', 'Mystery Dungeon', 'Runner', 'Real Time Tactics', 'Exploration', 'Hidden Object', 'Interactive Fiction', 'Open World', 'Driving', 'Tutorial', 'Stealth', 'Management', 'Survival']",226,186,40,199
https://store.steampowered.com/app/383270/Hue/,Hue,"['Adventure', ' Indie']","30 Aug, 2016","['Indie', 'Adventure', 'Puzzle', 'Platformer', 'Great Soundtrack', 'Puzzle Platformer', 'Colorful', '2D', 'Narration', 'Singleplayer', 'Metroidvania', 'Side Scroller']",1739,1636,103,479
https://store.steampowered.com/app/391540/Undertale/,Undertale,"['Indie', ' RPG']","15 Sep, 2015","['Great Soundtrack', 'Story Rich', 'Choices Matter', 'Multiple Endings', 'Pixel Graphics', 'Funny', 'RPG', 'Singleplayer', 'Indie', 'Comedy', '2D', 'Replay Value', 'Bullet Hell', 'Cute', 'Memes', 'Retro', 'Dark', 'Psychological Horror', 'Dating Sim', 'Horror']",178317,172317,6000,369
https://store.steampowered.com/app/603800/ReThink/,ReThink,"['Casual', ' Indie']","8 Mar, 2017","['Puzzle', 'First-Person', 'Logic', 'Singleplayer', 'Indie', '3D', 'Sci-fi', 'Minimalist', 'Relaxing', 'Linear', 'Short', 'Difficult', 'Casual', 'Strategy', 'Platformer', 'Puzzle Platformer', 'Dystopian ', 'Futuristic', 'Multiplayer']",237,189,48,369
